system,system_name,id,document,final_score,table_score,title_layout_score,text_score,table_structure_score,table_content_score,matched_table_count,missing_table_count,extra_table_count,primary_selected_pair_count,semi_semantic_selected_pair_count,prediction,normalization_adapter,normalization_manifest,report
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),005,中国平安,90.5384,96.9926,71.676,93.5154,98.1828,95.2073,208,0,1,183,25,normalized_predictions/mineru-3.4.4-vlm/005.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/mineru-3.4.4-vlm/documents/005_report.md
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),006,阿里巴巴,92.2179,93.7883,82.4568,95.528,94.8144,92.2492,50,1,0,46,4,normalized_predictions/mineru-3.4.4-vlm/006.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/mineru-3.4.4-vlm/documents/006_report.md
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),007,美团,87.5972,93.0,67.6369,92.1745,93.528,92.2079,169,0,8,124,45,normalized_predictions/mineru-3.4.4-vlm/007.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/mineru-3.4.4-vlm/documents/007_report.md
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),008,先锋新材,93.1085,93.1919,81.0855,99.0365,93.8166,92.2549,218,0,11,202,16,normalized_predictions/mineru-3.4.4-vlm/008.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/mineru-3.4.4-vlm/documents/008_report.md
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),009,紫天科技,96.3772,99.1694,89.4415,97.0529,99.1483,99.201,182,1,0,182,0,normalized_predictions/mineru-3.4.4-vlm/009.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/mineru-3.4.4-vlm/documents/009_report.md
mineru-3.4.4-vlm,MinerU 3.4.4 — VLM backend (MinerU2.5-Pro-2605-1.2B),010,万和电气,93.3123,89.007,91.5416,98.5029,89.3358,88.5139,216,0,20,216,0,normalized_predictions/mineru-3.4.4-vlm/010.md,normalize_mineru_vlm.py,normalized_predictions/mineru-3.4.4-vlm/normalization_manifest.json,scores/mineru-3.4.4-vlm/documents/010_report.md
