system,system_name,id,document,final_score,table_score,title_layout_score,text_score,table_structure_score,table_content_score,matched_table_count,missing_table_count,extra_table_count,primary_selected_pair_count,semi_semantic_selected_pair_count,prediction,normalization_adapter,normalization_manifest,report
paddleocr-vl-1.6-cross-page,PaddleOCR-VL-1.6-0.9B — cross-page merge,005,中国平安,85.531,87.4178,72.8761,89.9716,89.3392,84.5357,186,14,0,162,24,normalized_predictions/paddleocr-vl-1.6-cross-page/005.md,normalize_paddleocr_cross_page.py,normalized_predictions/paddleocr-vl-1.6-cross-page/normalization_manifest.json,scores/paddleocr-vl-1.6-cross-page/documents/005_report.md
paddleocr-vl-1.6-cross-page,PaddleOCR-VL-1.6-0.9B — cross-page merge,006,阿里巴巴,90.6313,87.6058,85.0577,96.4435,90.4605,83.3238,49,2,0,45,4,normalized_predictions/paddleocr-vl-1.6-cross-page/006.md,normalize_paddleocr_cross_page.py,normalized_predictions/paddleocr-vl-1.6-cross-page/normalization_manifest.json,scores/paddleocr-vl-1.6-cross-page/documents/006_report.md
paddleocr-vl-1.6-cross-page,PaddleOCR-VL-1.6-0.9B — cross-page merge,007,美团,86.8865,93.7552,66.6624,90.1299,95.0715,91.7808,159,0,2,120,39,normalized_predictions/paddleocr-vl-1.6-cross-page/007.md,normalize_paddleocr_cross_page.py,normalized_predictions/paddleocr-vl-1.6-cross-page/normalization_manifest.json,scores/paddleocr-vl-1.6-cross-page/documents/007_report.md
paddleocr-vl-1.6-cross-page,PaddleOCR-VL-1.6-0.9B — cross-page merge,008,先锋新材,95.256,94.8207,89.071,98.7838,95.1553,94.3188,220,0,8,198,22,normalized_predictions/paddleocr-vl-1.6-cross-page/008.md,normalize_paddleocr_cross_page.py,normalized_predictions/paddleocr-vl-1.6-cross-page/normalization_manifest.json,scores/paddleocr-vl-1.6-cross-page/documents/008_report.md
paddleocr-vl-1.6-cross-page,PaddleOCR-VL-1.6-0.9B — cross-page merge,009,紫天科技,96.2163,93.9946,94.3599,99.3661,95.7405,91.3758,182,1,6,182,0,normalized_predictions/paddleocr-vl-1.6-cross-page/009.md,normalize_paddleocr_cross_page.py,normalized_predictions/paddleocr-vl-1.6-cross-page/normalization_manifest.json,scores/paddleocr-vl-1.6-cross-page/documents/009_report.md
paddleocr-vl-1.6-cross-page,PaddleOCR-VL-1.6-0.9B — cross-page merge,010,万和电气,96.2635,94.0482,95.2721,98.9745,94.3013,93.6686,216,0,9,216,0,normalized_predictions/paddleocr-vl-1.6-cross-page/010.md,normalize_paddleocr_cross_page.py,normalized_predictions/paddleocr-vl-1.6-cross-page/normalization_manifest.json,scores/paddleocr-vl-1.6-cross-page/documents/010_report.md
