system,system_name,id,document,final_score,table_score,title_layout_score,text_score,table_structure_score,table_content_score,matched_table_count,missing_table_count,extra_table_count,primary_selected_pair_count,semi_semantic_selected_pair_count,prediction,normalization_adapter,normalization_manifest,report
self-developed-parser,自研解析模型（版本未记录）,005,中国平安,86.7523,87.407,71.7735,93.587,89.8917,83.6799,187,13,0,163,24,normalized_predictions/self-developed-parser/005.md,normalize_self_developed.py,normalized_predictions/self-developed-parser/normalization_manifest.json,scores/self-developed-parser/documents/005_report.md
self-developed-parser,自研解析模型（版本未记录）,006,阿里巴巴,92.6013,91.5834,87.3769,96.2313,94.2959,87.5147,53,0,0,49,4,normalized_predictions/self-developed-parser/006.md,normalize_self_developed.py,normalized_predictions/self-developed-parser/normalization_manifest.json,scores/self-developed-parser/documents/006_report.md
self-developed-parser,自研解析模型（版本未记录）,007,美团,86.2809,91.694,65.7222,91.1472,93.1289,89.5417,170,0,5,123,47,normalized_predictions/self-developed-parser/007.md,normalize_self_developed.py,normalized_predictions/self-developed-parser/normalization_manifest.json,scores/self-developed-parser/documents/007_report.md
self-developed-parser,自研解析模型（版本未记录）,008,先锋新材,93.6629,90.5005,92.0599,97.6269,91.0934,89.6111,220,0,16,192,28,normalized_predictions/self-developed-parser/008.md,normalize_self_developed.py,normalized_predictions/self-developed-parser/normalization_manifest.json,scores/self-developed-parser/documents/008_report.md
self-developed-parser,自研解析模型（版本未记录）,009,紫天科技,92.5998,88.1487,90.9173,97.8922,89.1909,86.5853,182,1,15,182,0,normalized_predictions/self-developed-parser/009.md,normalize_self_developed.py,normalized_predictions/self-developed-parser/normalization_manifest.json,scores/self-developed-parser/documents/009_report.md
self-developed-parser,自研解析模型（版本未记录）,010,万和电气,92.15,86.8152,92.8939,97.1128,87.2908,86.1018,216,0,25,216,0,normalized_predictions/self-developed-parser/010.md,normalize_self_developed.py,normalized_predictions/self-developed-parser/normalization_manifest.json,scores/self-developed-parser/documents/010_report.md
