system,system_name,id,document,final_score,table_score,title_layout_score,text_score,table_structure_score,table_content_score,matched_table_count,missing_table_count,extra_table_count,primary_selected_pair_count,semi_semantic_selected_pair_count,prediction,normalization_adapter,normalization_manifest,report
mineru-3.4.0-hybrid-high,MinerU 3.4.0 — Hybrid backend (effort=high; MinerU2.5-Pro-2605-1.2B),005,中国平安,90.8688,97.0192,73.361,93.4724,98.1966,95.2532,208,0,1,183,25,normalized_predictions/mineru-3.4.0-hybrid-high/005.md,normalize_mineru_hybrid.py,normalized_predictions/mineru-3.4.0-hybrid-high/normalization_manifest.json,scores/mineru-3.4.0-hybrid-high/documents/005_report.md
mineru-3.4.0-hybrid-high,MinerU 3.4.0 — Hybrid backend (effort=high; MinerU2.5-Pro-2605-1.2B),006,阿里巴巴,92.5123,94.015,82.4568,96.0374,94.9778,92.5707,50,1,0,46,4,normalized_predictions/mineru-3.4.0-hybrid-high/006.md,normalize_mineru_hybrid.py,normalized_predictions/mineru-3.4.0-hybrid-high/normalization_manifest.json,scores/mineru-3.4.0-hybrid-high/documents/006_report.md
mineru-3.4.0-hybrid-high,MinerU 3.4.0 — Hybrid backend (effort=high; MinerU2.5-Pro-2605-1.2B),007,美团,87.7156,93.1192,67.8943,92.2226,93.5699,92.4431,169,0,8,124,45,normalized_predictions/mineru-3.4.0-hybrid-high/007.md,normalize_mineru_hybrid.py,normalized_predictions/mineru-3.4.0-hybrid-high/normalization_manifest.json,scores/mineru-3.4.0-hybrid-high/documents/007_report.md
mineru-3.4.0-hybrid-high,MinerU 3.4.0 — Hybrid backend (effort=high; MinerU2.5-Pro-2605-1.2B),008,先锋新材,93.4126,93.1919,83.0751,98.8021,93.8166,92.2549,218,0,11,202,16,normalized_predictions/mineru-3.4.0-hybrid-high/008.md,normalize_mineru_hybrid.py,normalized_predictions/mineru-3.4.0-hybrid-high/normalization_manifest.json,scores/mineru-3.4.0-hybrid-high/documents/008_report.md
mineru-3.4.0-hybrid-high,MinerU 3.4.0 — Hybrid backend (effort=high; MinerU2.5-Pro-2605-1.2B),009,紫天科技,97.8692,99.1694,91.4367,99.7852,99.1483,99.201,182,1,0,182,0,normalized_predictions/mineru-3.4.0-hybrid-high/009.md,normalize_mineru_hybrid.py,normalized_predictions/mineru-3.4.0-hybrid-high/normalization_manifest.json,scores/mineru-3.4.0-hybrid-high/documents/009_report.md
mineru-3.4.0-hybrid-high,MinerU 3.4.0 — Hybrid backend (effort=high; MinerU2.5-Pro-2605-1.2B),010,万和电气,93.9842,88.9887,93.6347,99.1544,89.3283,88.4793,216,0,20,216,0,normalized_predictions/mineru-3.4.0-hybrid-high/010.md,normalize_mineru_hybrid.py,normalized_predictions/mineru-3.4.0-hybrid-high/normalization_manifest.json,scores/mineru-3.4.0-hybrid-high/documents/010_report.md
