system,system_name,id,document,final_score,table_score,title_layout_score,text_score,chart_score,gt_chart_count,table_weight,title_layout_weight,text_weight,table_structure_score,table_content_score,matched_table_count,missing_table_count,extra_table_count,primary_selected_pair_count,semi_semantic_selected_pair_count,prediction,normalization_adapter,normalization_manifest,report
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,001,食品饮料行业深度报告,87.7195,58.3365,89.7963,91.5237,0.0,62,0.10421804844115601,0.2,0.695781951558844,70.4139,40.2202,2,0,1,2,0,normalized_predictions/paddleocr-vl-1.6-pagewise/001.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/without_charts/paddleocr-vl-1.6-pagewise/documents/001_report.md
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,002,传媒行业深度报告,95.503,99.3788,97.8945,94.3751,0.0,17,0.08474885844748858,0.2,0.7152511415525115,100.0,98.447,6,0,0,6,0,normalized_predictions/paddleocr-vl-1.6-pagewise/002.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/without_charts/paddleocr-vl-1.6-pagewise/documents/002_report.md
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,003,创新药产业链深度报告,94.5949,87.1974,90.389,98.8144,0.0,44,0.2181661458894516,0.2,0.5818338541105484,89.3533,83.9636,8,0,3,8,0,normalized_predictions/paddleocr-vl-1.6-pagewise/003.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/without_charts/paddleocr-vl-1.6-pagewise/documents/003_report.md
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,004,创新药国际化深度报告,97.3334,98.8339,95.3671,97.0317,0.0,12,0.35215749112967837,0.2,0.44784250887032173,100.0,97.0847,8,0,0,8,0,normalized_predictions/paddleocr-vl-1.6-pagewise/004.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/without_charts/paddleocr-vl-1.6-pagewise/documents/004_report.md
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,005,中国平安,86.2199,87.079,71.8196,91.3006,0.0,21,0.280578306860762,0.2,0.519421693139238,89.537,83.392,188,12,1,164,24,normalized_predictions/paddleocr-vl-1.6-pagewise/005.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/without_charts/paddleocr-vl-1.6-pagewise/documents/005_report.md
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,006,阿里巴巴,92.7927,88.7964,85.4032,96.5581,100.0,0,0.19769362511893437,0.2,0.6023063748810658,92.4865,83.2613,49,2,0,45,4,normalized_predictions/paddleocr-vl-1.6-pagewise/006.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/without_charts/paddleocr-vl-1.6-pagewise/documents/006_report.md
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,007,美团,85.0393,87.4706,65.0977,90.7435,0.0,3,0.17568220898646797,0.2,0.624317791013532,89.0152,85.1537,161,0,2,120,41,normalized_predictions/paddleocr-vl-1.6-pagewise/007.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/without_charts/paddleocr-vl-1.6-pagewise/documents/007_report.md
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,008,先锋新材,89.3735,77.4903,87.1928,98.9491,100.0,0,0.3366624259969748,0.2,0.4633375740030252,79.1897,74.9412,224,0,52,197,27,normalized_predictions/paddleocr-vl-1.6-pagewise/008.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/without_charts/paddleocr-vl-1.6-pagewise/documents/008_report.md
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,009,紫天科技,85.1529,58.3767,92.568,99.5346,0.0,1,0.315574500982466,0.2,0.48442549901753407,62.37,52.3868,183,0,55,183,0,normalized_predictions/paddleocr-vl-1.6-pagewise/009.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/without_charts/paddleocr-vl-1.6-pagewise/documents/009_report.md
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,010,万和电气,82.2839,55.9825,92.4943,99.1205,0.0,1,0.359576110604253,0.2,0.4404238893957471,59.8328,50.2071,216,0,90,216,0,normalized_predictions/paddleocr-vl-1.6-pagewise/010.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/without_charts/paddleocr-vl-1.6-pagewise/documents/010_report.md
