system,system_name,id,document,final_score,table_score,title_layout_score,text_score,table_structure_score,table_content_score,matched_table_count,missing_table_count,extra_table_count,primary_selected_pair_count,semi_semantic_selected_pair_count,prediction,normalization_adapter,normalization_manifest,report
mineru-3.4.0-pipeline,"MinerU 3.4.0 — Pipeline backend (method=auto, lang=ch)",005,中国平安,84.8721,81.445,75.7551,92.8577,82.9622,79.1692,182,18,0,160,22,normalized_predictions/mineru-3.4.0-pipeline/005.md,normalize_mineru_pipeline.py,normalized_predictions/mineru-3.4.0-pipeline/normalization_manifest.json,scores/mineru-3.4.0-pipeline/documents/005_report.md
mineru-3.4.0-pipeline,"MinerU 3.4.0 — Pipeline backend (method=auto, lang=ch)",006,阿里巴巴,85.9595,80.9389,84.3791,91.7702,87.7849,70.6699,49,2,0,45,4,normalized_predictions/mineru-3.4.0-pipeline/006.md,normalize_mineru_pipeline.py,normalized_predictions/mineru-3.4.0-pipeline/normalization_manifest.json,scores/mineru-3.4.0-pipeline/documents/006_report.md
mineru-3.4.0-pipeline,"MinerU 3.4.0 — Pipeline backend (method=auto, lang=ch)",007,美团,83.6275,85.2803,69.7916,88.8926,88.7817,80.0283,160,0,1,121,39,normalized_predictions/mineru-3.4.0-pipeline/007.md,normalize_mineru_pipeline.py,normalized_predictions/mineru-3.4.0-pipeline/normalization_manifest.json,scores/mineru-3.4.0-pipeline/documents/007_report.md
mineru-3.4.0-pipeline,"MinerU 3.4.0 — Pipeline backend (method=auto, lang=ch)",008,先锋新材,93.8461,91.864,88.0801,98.7111,93.0732,90.0502,215,0,10,199,16,normalized_predictions/mineru-3.4.0-pipeline/008.md,normalize_mineru_pipeline.py,normalized_predictions/mineru-3.4.0-pipeline/normalization_manifest.json,scores/mineru-3.4.0-pipeline/documents/008_report.md
mineru-3.4.0-pipeline,"MinerU 3.4.0 — Pipeline backend (method=auto, lang=ch)",009,紫天科技,96.6251,96.3309,91.8701,99.2968,96.6144,95.9056,182,1,4,182,0,normalized_predictions/mineru-3.4.0-pipeline/009.md,normalize_mineru_pipeline.py,normalized_predictions/mineru-3.4.0-pipeline/normalization_manifest.json,scores/mineru-3.4.0-pipeline/documents/009_report.md
mineru-3.4.0-pipeline,"MinerU 3.4.0 — Pipeline backend (method=auto, lang=ch)",010,万和电气,96.9451,96.6887,92.3265,99.5107,96.9178,96.3451,215,1,4,215,0,normalized_predictions/mineru-3.4.0-pipeline/010.md,normalize_mineru_pipeline.py,normalized_predictions/mineru-3.4.0-pipeline/normalization_manifest.json,scores/mineru-3.4.0-pipeline/documents/010_report.md
