system,system_name,id,document,final_score,table_score,title_layout_score,text_score,table_structure_score,table_content_score,matched_table_count,missing_table_count,extra_table_count,primary_selected_pair_count,semi_semantic_selected_pair_count,prediction,normalization_adapter,normalization_manifest,report
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,005,中国平安,85.5406,87.97,71.8196,89.9716,90.0157,84.9015,188,12,1,164,24,normalized_predictions/paddleocr-vl-1.6-pagewise/005.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/paddleocr-vl-1.6-pagewise/documents/005_report.md
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,006,阿里巴巴,90.7004,87.6058,85.4032,96.4435,90.4605,83.3238,49,2,0,45,4,normalized_predictions/paddleocr-vl-1.6-pagewise/006.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/paddleocr-vl-1.6-pagewise/documents/006_report.md
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,007,美团,86.623,93.8787,65.0977,90.1299,95.1632,91.9518,161,0,2,120,41,normalized_predictions/paddleocr-vl-1.6-pagewise/007.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/paddleocr-vl-1.6-pagewise/documents/007_report.md
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,008,先锋新材,87.7473,76.9881,87.1928,98.7838,77.7931,75.7806,224,0,52,197,27,normalized_predictions/paddleocr-vl-1.6-pagewise/008.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/paddleocr-vl-1.6-pagewise/documents/008_report.md
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,009,紫天科技,86.2563,69.9907,92.568,99.3661,72.2502,66.6016,183,0,55,183,0,normalized_predictions/paddleocr-vl-1.6-pagewise/009.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/paddleocr-vl-1.6-pagewise/documents/009_report.md
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,010,万和电气,83.767,64.1959,92.4943,98.9745,65.4691,62.286,216,0,90,216,0,normalized_predictions/paddleocr-vl-1.6-pagewise/010.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/paddleocr-vl-1.6-pagewise/documents/010_report.md
